id,continent,location,population_density,new_cases,new_deaths
0,Asia,Afghanistan,54.422,5.0,
1,Asia,Afghanistan,54.422,0.0,
2,Asia,Afghanistan,54.422,0.0,
3,Asia,Afghanistan,54.422,0.0,
4,Asia,Afghanistan,54.422,0.0,
5,Asia,Afghanistan,54.422,0.0,
6,Asia,Afghanistan,54.422,0.0,
7,Asia,Afghanistan,54.422,0.0,
8,Asia,Afghanistan,54.422,0.0,
9,Asia,Afghanistan,54.422,0.0,
10,Asia,Afghanistan,54.422,0.0,
11,Asia,Afghanistan,54.422,0.0,
12,Asia,Afghanistan,54.422,3.0,
13,Asia,Afghanistan,54.422,0.0,
14,Asia,Afghanistan,54.422,0.0,
15,Asia,Afghanistan,54.422,0.0,
16,Asia,Afghanistan,54.422,3.0,
17,Asia,Afghanistan,54.422,0.0,
18,Asia,Afghanistan,54.422,0.0,
19,Asia,Afghanistan,54.422,3.0,
20,Asia,Afghanistan,54.422,6.0,
21,Asia,Afghanistan,54.422,5.0,
22,Asia,Afghanistan,54.422,1.0,
23,Asia,Afghanistan,54.422,0.0,
24,Asia,Afghanistan,54.422,0.0,
25,Asia,Afghanistan,54.422,-2.0,
26,Asia,Afghanistan,54.422,0.0,
27,Asia,Afghanistan,54.422,10.0,
28,Asia,Afghanistan,54.422,6.0,1.0
29,Asia,Afghanistan,54.422,2.0,0.0
30,Asia,Afghanistan,54.422,32.0,0.0
31,Asia,Afghanistan,54.422,6.0,1.0
32,Asia,Afghanistan,54.422,11.0,0.0
33,Asia,Afghanistan,54.422,15.0,0.0
34,Asia,Afghanistan,54.422,8.0,2.0
35,Asia,Afghanistan,54.422,0.0,0.0
36,Asia,Afghanistan,54.422,52.0,0.0
37,Asia,Afghanistan,54.422,26.0,0.0
38,Asia,Afghanistan,54.422,43.0,0.0
39,Asia,Afghanistan,54.422,34.0,1.0
40,Asia,Afghanistan,54.422,1.0,0.0
41,Asia,Afghanistan,54.422,29.0,2.0
42,Asia,Afghanistan,54.422,38.0,0.0
43,Asia,Afghanistan,54.422,30.0,4.0
44,Asia,Afghanistan,54.422,56.0,3.0
45,Asia,Afghanistan,54.422,21.0,1.0
46,Asia,Afghanistan,54.422,77.0,0.0
47,Asia,Afghanistan,54.422,0.0,0.0
48,Asia,Afghanistan,54.422,34.0,3.0
49,Asia,Afghanistan,54.422,52.0,1.0
